id,user_type_id:id,code,name,reconcile,chart_template_id:id
__export__.account_account_4513,account.data_account_type_current_liabilities,L4041,Įsipareigojimų ir reikalavimų padengimo atidėjimai,0,l10n_lt_account_chart_template
__export__.account_account_4514,account.data_account_type_current_liabilities,L4042,Pensijų ir panašių įsipareigojimų atidėjimai,0,l10n_lt_account_chart_template
__export__.account_account_4515,account.data_account_type_current_liabilities,L4043,Kiti atidėjimai,0,l10n_lt_account_chart_template
__export__.account_account_4516,account.data_account_type_current_liabilities,L4051,Atidėtas pelno mokesčio įsipareigojimas,0,l10n_lt_account_chart_template
__export__.account_account_4517,account.data_account_type_current_liabilities,L4061,Įsipareigojimai pagal mokestinės paskolos sutartis,0,l10n_lt_account_chart_template
__export__.account_account_4518,account.data_account_type_current_liabilities,L4062,Kiti įsipareigojimai,0,l10n_lt_account_chart_template
__export__.account_account_4519,account.data_account_type_current_liabilities,L4411,Lizingo (finansinės nuomos) ar panašūs įsipareigojimai,0,l10n_lt_account_chart_template
__export__.account_account_4520,account.data_account_type_current_liabilities,L4412,Prekybos skolos,0,l10n_lt_account_chart_template
__export__.account_account_4521,account.data_account_type_current_liabilities,L4413,Kitos skolos,0,l10n_lt_account_chart_template
__export__.account_account_4522,account.data_account_type_current_liabilities,L4421,Kredito institucijoms,0,l10n_lt_account_chart_template
__export__.account_account_4523,account.data_account_type_current_liabilities,L4422,Kitos skolos,0,l10n_lt_account_chart_template
__export__.account_account_4524,account.data_account_type_payable,L44301,Skolos tiekėjams,1,l10n_lt_account_chart_template
__export__.account_account_4525,account.data_account_type_payable,L44302,Skolos tiekėjams VALIUTA,1,l10n_lt_account_chart_template
__export__.account_account_4526,account.data_account_type_payable,L44401,Išankstiniai apmokėjimai LT,1,l10n_lt_account_chart_template
__export__.account_account_4527,account.data_account_type_payable,L44402,Išankstiniai apmokėjimai VALIUTA,1,l10n_lt_account_chart_template
__export__.account_account_4528,account.data_account_type_payable,L44499,Būsimųjų laikot. pajamos pripaž. kitais metais,1,l10n_lt_account_chart_template
__export__.account_account_4529,account.data_account_type_payable,L446100,Mokėtinas DU,1,l10n_lt_account_chart_template
__export__.account_account_4530,account.data_account_type_payable,L4462,Mokėtinas gyventojų pajamų mokestis,1,l10n_lt_account_chart_template
__export__.account_account_4531,account.data_account_type_payable,L4463,Mokėtinos socialinio draudimo įmokos,1,l10n_lt_account_chart_template
__export__.account_account_4532,account.data_account_type_payable,L4464,Mokėtinos garantinio fondo įmokos,1,l10n_lt_account_chart_template
__export__.account_account_4533,account.data_account_type_payable,L446501,Kitos išmokos dirbantiesiems,1,l10n_lt_account_chart_template
__export__.account_account_4534,account.data_account_type_payable,L4466,Atostogų kaupimai,1,l10n_lt_account_chart_template
__export__.account_account_4535,account.data_account_type_payable,L4481,Mokėtini dividendai,1,l10n_lt_account_chart_template
__export__.account_account_4536,account.data_account_type_payable,L4482,Mokėtinos tantjemos,1,l10n_lt_account_chart_template
__export__.account_account_4537,account.data_account_type_current_liabilities,L4483,Sukauptos sąnaudos,0,l10n_lt_account_chart_template
__export__.account_account_4538,account.data_account_type_current_liabilities,L4484,Mokėtinas PVM,0,l10n_lt_account_chart_template
__export__.account_account_4539,account.data_account_type_payable,L448500,Mokėtinas GPM nuo autorinio atlyginimo,1,l10n_lt_account_chart_template
__export__.account_account_4540,account.data_account_type_payable,L448501,Mokėtina SODRA nuo autorinio atlyginimo,1,l10n_lt_account_chart_template
__export__.account_account_4541,account.data_account_type_payable,L448510,Mokėtinas GPM nuo automobilių nuomos,1,l10n_lt_account_chart_template
__export__.account_account_4542,account.data_account_type_payable,L448515,Mokėtinas NTM,1,l10n_lt_account_chart_template
__export__.account_account_4543,account.data_account_type_payable,L448530,Mokėtini delspinigiai VMI,1,l10n_lt_account_chart_template
__export__.account_account_4544,account.data_account_type_payable,L448531,Mokėtinos palūkanos VMI,1,l10n_lt_account_chart_template
__export__.account_account_4545,account.data_account_type_payable,L448600,Mokėtinas autorinis atlyginimas,1,l10n_lt_account_chart_template
__export__.account_account_4546,account.data_account_type_payable,L448610,Mokėtina automobilio nuoma,1,l10n_lt_account_chart_template
__export__.account_account_4547,account.data_account_type_payable,L448698,Pagal vykdomąjį raštą,1,l10n_lt_account_chart_template
__export__.account_account_4548,account.data_account_type_payable,L448699,Kitos mokėtinos sumos,1,l10n_lt_account_chart_template
__export__.account_account_4549,account.data_account_type_receivable,L50000,Pardavimo pajamos,1,l10n_lt_account_chart_template
